id,keyword,matchType,replyTemplate,category,targetType,targetNamesJson,priority,enabled,createdAt,updatedAt,tenantId,syncVersion,deleted,remoteId
1271,"泳池儿童池收费",CONTAINS,"亲，可选循环用水，水质洁净价格低：
儿童池（带水上设备）150元/晚，大泳池200元/晚，任选其一，两项同订350元","",ALL,[],0,1,1780587036853,1780587036853,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_366
1272,"羊, 全羊",CONTAINS,"亲，下完单之后，到时我帮您问一下相关的商家，发给您哦！","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934313,1780193934313,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_364
1273,"单独包厢, 独立包厢, 包厢",CONTAINS,"亲，别墅有一个带卡拉OK的房间，内置两张沙发床，收起是包厢，展开就是卧室；（具体是否包含看平台须知）","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934314,1780193934314,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_365
1274,"你好, hello, 早上好",CONTAINS,"你好呀！","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934308,1780193934308,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_362
1275,"厨具, 餐具, 厨房, 碗, 筷子, 锅, 做饭, 炒菜, 炒锅, 煮, 饮",CONTAINS,"亲，咱们的厨具能满足基本做饭需求，像电饭煲、电磁炉、炒锅、汤锅这些都有。具体的您可以在平台列表里看，下单后我让房东发您一份详细的厨具清单。要是您特别在意某类厨具，也可以告诉我，我帮您问问再回复您～ 这样是不是清楚多啦？🌷","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934290,1780193934290,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_354
1276,"独立卫生间",CONTAINS,"亲，别墅内其中有三个房间，配备独立卫生间；","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934296,1780193934296,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_357
1277,"燃气",CONTAINS,"厨房带有燃气灶，可以使用天然气做饭","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934303,1780193934303,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_360
1278,"烟花",CONTAINS,"别墅内禁止燃放烟花（园区绿化茂密，燃放易引发火灾）；若有需求，可登上别墅楼顶观察烟花集中闪烁处，前往度假区公共燃放区域安全燃放~","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934305,1780193934305,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_361
1279,"喷水城堡, 城堡, 充气城堡",CONTAINS,"充气城堡具备如下娱乐功能
1.滑滑梯
2.喷水（冬天不可用）
3.蹦蹦床
4.攀爬
使用100元一次，可持续用4小时！","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934275,1780193934275,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_347
1280,"泳池, 游水, 游泳, 玩水",CONTAINS,"【泳池】5-10月份免费开放，仅限循环用水，不包含特殊要求换水
【泡池】12-次年4月免费送一池普通热水（仅限晴天），使用提前1天说明，否则不可用
【设施尺寸】
泳池：(6.5*2.7*1.2)；
花型水上乐园（4*4.8*0.5）
泡池（2*1.9）","通用问题",PROPERTY,"[""通用问题""]",0,1,1780193934248,1780193934248,30c30b28-89d0-4db8-bed4-7666b065355e,178280419468,0,30c30b28-89d0-4db8-bed4-7666b065355e_335
